latitude,longitude,nkill
36.672703,3.809529,10
13.707198,1.77831,0
16.77532,-3.008265,1
36.077754,4.462888,19
35.036841,7.021988,5
18.079275,-15.965107,1
16.266667,-0.05,28
35.584338,5.860815,0
36.919552,3.891396,1
35.400171,0.139933,2
18.079275,-15.965107,1
36.72398,3.670848,43
21.543155,39.174905,1
36.592604,4.487702,0
36.519439,4.146745,1
36.612083,3.98778,7
33.74324,44.623825,0
36.866624,4.249595,0
14.681553,48.851287,5
33.74324,44.623825,2
15.914432,2.397368,0
18.1,-15.95,0
34.621521,43.668377,6
33.303566,44.371773,26
33.303566,44.371773,26
33.303566,44.371773,26
33.303566,44.371773,27
33.303566,44.371773,27
36.376823,42.448875,2
42.331685,-83.047924,0
15.6207,4.7832,4
27.560076,68.215714,0
17.905421,6.04542,1
