latitude,longitude,Attacktype,Deaths,nkill,nkill2
34.516895,69.147011,Bombing/Explosion,6,6,0.84509804
31.60063,64.369652,Bombing/Explosion,17,17,1.255272505
16.893194,42.57526,Armed Assault,4,4,0.698970004
33.303566,44.371773,Bombing/Explosion,7,7,0.903089987
24.64732,46.714581,Bombing/Explosion,17,17,1.255272505
41.106178,28.689863,Bombing/Explosion,16,16,1.230448921
41.106178,28.689863,Bombing/Explosion,16,16,1.230448921
33.594013,73.069077,Assassination,15,15,1.204119983
40.465595,-3.696263,Bombing/Explosion,37,37,1.579783597
40.465595,-3.696263,Bombing/Explosion,73,73,1.86923172
40.465595,-3.696263,Bombing/Explosion,19,19,1.301029996
40.465595,-3.696263,Bombing/Explosion,0,0.5,0.176091259
40.465595,-3.696263,Bombing/Explosion,0,0.5,0.176091259
40.465595,-3.696263,Bombing/Explosion,62,62,1.799340549
34.006004,71.53743,Bombing/Explosion,0,0.5,0.176091259
24.089097,38.063963,Armed Assault,10,10,1.041392685
26.218399,50.195902,Hostage Taking (Barricade Incident),22,22,1.361727836
32.687926,69.832993,Bombing/Explosion,0,0.5,0.176091259
32.306099,69.579956,Armed Assault,24,24,1.397940009
24.64732,46.714581,Armed Assault,1,1,0.301029996
24.64732,46.714581,Hostage Taking (Kidnapping),1,1,0.301029996
32.386811,69.689823,Bombing/Explosion,1,1,0.301029996
32.306099,69.579956,Bombing/Explosion,2,2,0.477121255
33.744999,45.545616,Armed Assault,50,50,1.707570176
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Hostage Taking (Kidnapping),1,1,0.301029996
33.303566,44.371773,Facility/Infrastructure Attack,13,13,1.146128036
21.543155,39.174905,Armed Assault,9,9,1
33.303566,44.371773,Bombing/Explosion,2,2,0.477121255
35.064873,43.551613,Facility/Infrastructure Attack,0,0.5,0.176091259
32.622868,69.839325,Bombing/Explosion,1,1,0.301029996
24.64732,46.714581,Bombing/Explosion,8,8,0.954242509
33.303566,44.371773,Assassination,2,2,0.477121255
33.303566,44.371773,Assassination,2,2,0.477121255
34.621521,43.668377,Bombing/Explosion,8,8,0.954242509
30.510054,47.778095,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Hostage Taking (Kidnapping),0,0.5,0.176091259
36.354145,43.14357,Bombing/Explosion,12,12,1.113943352
33.303566,44.371773,Bombing/Explosion,21,21,1.342422681
32.777344,44.289352,Bombing/Explosion,18,18,1.278753601
33.74324,44.623825,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,7,7,0.903089987
33.303566,44.371773,Assassination,9,9,1
34.010471,44.148235,Bombing/Explosion,16,16,1.230448921
33.74324,44.623825,Bombing/Explosion,11,11,1.079181246
35.45211,44.375465,Bombing/Explosion,0,0.5,0.176091259
36.354145,43.14357,Assassination,4,4,0.698970004
32.000596,44.330818,Hostage Taking (Kidnapping),1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,20,20,1.322219295
33.303566,44.371773,Bombing/Explosion,1,1,0.301029996
33.31065,44.038208,Bombing/Explosion,10,10,1.041392685
34.621521,43.668377,Bombing/Explosion,6,6,0.84509804
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,4,4,0.698970004
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
33.303566,44.371773,Bombing/Explosion,22,22,1.361727836
33.420948,43.295662,Hostage Taking (Kidnapping),1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,15,15,1.204119983
33.303566,44.371773,Assassination,1,1,0.301029996
33.303566,44.371773,Assassination,1,1,0.301029996
33.303566,44.371773,Assassination,2,2,0.477121255
33.303566,44.371773,Bombing/Explosion,11,11,1.079181246
32.469238,44.416637,Bombing/Explosion,34,34,1.544068044
32.469238,44.416637,Bombing/Explosion,27,27,1.447158031
31.631083,65.742226,Bombing/Explosion,21,21,1.342422681
33.303566,44.371773,Bombing/Explosion,1,1,0.301029996
33.303566,44.371773,Bombing/Explosion,3,3,0.602059991
