latitude,longitude,Attacktype,Deaths,nkill
34.790665,44.662151,Bombing/Explosion,18,18
36.747752,3.773732,Bombing/Explosion,0,4
55.863239,-4.427852,Armed Assault,1,4
35.194012,6.915436,Assassination,1,4
34.533753,43.483738,Bombing/Explosion,1,4
15.434043,45.48023,Bombing/Explosion,9,9
36.501,3.77396,Unknown,1,4
36.536834,4.215102,Assassination,0,4
36.562222,3.594444,Bombing/Explosion,11,11
36.891243,4.123217,Bombing/Explosion,1,4
33.006516,70.068253,Bombing/Explosion,25,25
36.691273,3.588857,Bombing/Explosion,0,4
36.63059,4.289494,Bombing/Explosion,3,4
36.56522,3.153934,Assassination,0,4
36.202354,41.687168,Bombing/Explosion,250,250
36.183247,41.591599,Bombing/Explosion,250,250
36.748247,3.948864,Bombing/Explosion,0,4
34.208416,43.890713,Armed Assault,3,4
33.74324,44.623825,Hostage Taking (Kidnapping),0,4
35.024167,8.024722,Bombing/Explosion,6,6
33.594013,73.069077,Bombing/Explosion,18,18
35.55,6.166667,Bombing/Explosion,16,16
34.417522,3.831195,Assassination,1,4
36.919552,3.891396,Bombing/Explosion,30,30
36.724419,3.619247,Bombing/Explosion,0,4
33.420948,43.295662,Bombing/Explosion,3,4
36.803501,3.563821,Bombing/Explosion,3,4
33.953167,44.921906,Armed Assault,14,14
36.564444,3.154167,Bombing/Explosion,1,4
36.562222,3.594444,Bombing/Explosion,1,4
33.74324,44.623825,Bombing/Explosion,20,20
36.789167,3.677222,Assassination,1,4
36.72398,3.670848,Bombing/Explosion,2,4
36.335801,4.262044,Bombing/Explosion,0,4
36.919552,3.891396,Bombing/Explosion,0,4
33.349159,43.784199,Armed Assault,1,4
33.737099,44.490696,Bombing/Explosion,1,4
31.98958,44.923775,Facility/Infrastructure Attack,10,10
31.98958,44.923775,Facility/Infrastructure Attack,10,10
33.773349,45.14945,Armed Assault,1,4
